% 1. Title: StackExchange database
% 
% 2. Created on 2013-00-01 
@RELATION StackExchange

@ATTRIBUTE name string
@ATTRIBUTE score numeric

@DATA
'http___academia_stackexchange_com_questions_10695.html',13
'http___academia_stackexchange_com_questions_1118.html',14
'http___academia_stackexchange_com_questions_11590.html',14
'http___academia_stackexchange_com_questions_2498.html',28
'http___academia_stackexchange_com_questions_3461.html',6
'http___academia_stackexchange_com_questions_5101.html',5
'http___academia_stackexchange_com_questions_8170.html',7
'http___academia_stackexchange_com_questions_8427.html',7
'http___android_stackexchange_com_questions_11375.html',4
'http___android_stackexchange_com_questions_11503.html',2
'http___android_stackexchange_com_questions_11505.html',5
'http___android_stackexchange_com_questions_11667.html',2
'http___android_stackexchange_com_questions_11937.html',2
'http___android_stackexchange_com_questions_12924.html',8
'http___android_stackexchange_com_questions_13605.html',5
