DELETION    ADDITION Edit-Distance Instances

Named Entities:php   PHP 3 5
fluttershy   Fluttershy. 2 2
cayogenMod   CyanogenMod 3 2
rainbow dash   Rainbow Dash. 3 3
the Yngol   Yngol's 6 2
torrent   BitTorrent 3 2
stackexchange   Stack Exchange 3 2
FB   Facebook 7 2
android   Android? 2 2
bittorrent   BitTorrent 2 4
stack exchange   Stack Exchange 2 2
apache solr   Apache Solr 2 2
latex   LaTeX 3 2
Stackoverflow   Stack Overflow 2 3
Pinky   Pinkie 2 2
openid   OpenID 3 2
apple jack   Apple Jack 2 2
google maps   Google Maps 2 3
Stack Overflow   StackOverflow, 2 2
stackoverflow   Stack Overflow 3 6
javascript   JavaScript 2 3
SO   Stack Overflow 12 16
stackoverflow   Stack Exchange 10 2
AucTeX   AUCTeX 2 2
playstation   PlayStation 2 2
mosfet   MOSFET 6 5
windows xp   Windows XP 3 2
MAC OSX   Mac OS X 3 2
postgresql   PostgreSQL 4 2
Iphone   iPhone 2 3
face book   Facebook 2 2



Stylistic Improvements

dvd   DVD 3 2
mms   MMS 3 2
jpegs   JPEGs 4 2
php   PHP 3 5
internet   an Internet 4 2
i dont   I don't 2 3
recursively subdivided   recursion 15 2
Sql server   SQL Server 3 2
tikz   TikZ 2 8
pdf   PDF 3 3
you're   someone is 8 2 (could also be a spelling correction)
ppa   PPA 3 2
satisfiable   satisfying 5 2
, but   . Only 5 2
states   US 6 3
didn't   couldn't 4 2
, they   . They 2 2
,i   . I 3 3
it in   in 3 2
jpeg   JPEG 4 2
n00b   beginner 7 2
your opponent   a player 10 2
i cant   I can't 2 2
outerscope   a wider scope 6 2
DB   the database 12 2
could   can 4 2
wi-fi   WiFi 3 3


Spelling Corrections
their   they're 3 3
don't   doesn't 2 2
should   shouldn't 3 2
